congress,congress_1,chamber,rollnumber
79,79,House,4
79,79,House,5
79,79,Senate,9
79,79,Senate,13
79,79,House,17
79,79,Senate,22
79,79,Senate,23
79,79,House,31
79,79,House,47
79,79,Senate,58
79,79,Senate,59
79,79,Senate,60
79,79,Senate,61
79,79,Senate,63
79,79,Senate,65
79,79,Senate,66
79,79.5,Senate,93
79,79.5,House,94
79,79.5,Senate,94
79,79.5,House,96
79,79.5,Senate,98
79,79.5,Senate,99
79,79.5,House,100
79,79.5,Senate,100
79,79.5,Senate,141
79,79.5,Senate,145
79,79.5,Senate,147
79,79.5,House,155
79,79.5,House,162
79,79.5,House,176
79,79.5,House,178
79,79.5,House,195
79,79.5,House,203
79,79.5,House,204
80,80,House,32
80,80,House,34
80,80,House,37
80,80,House,38
80,80,Senate,38
80,80,Senate,39
80,80,Senate,40
80,80,House,50
80,80,House,51
80,80,Senate,57
80,80,Senate,58
80,80,House,82
80,80,House,109
80,80,House,112
80,80,Senate,118
80,80,Senate,119
80,80,Senate,131
80,80,Senate,132
80,80,Senate,133
80,80,House,137
80,80,Senate,145
80,80,House,147
80,80,Senate,149
80,80,House,153
80,80,Senate,153
80,80,House,154
80,80,House,158
80,80,House,159
80,80,Senate,183
80,80,Senate,198
80,80,Senate,210
80,80,Senate,212
80,80,Senate,216
80,80,Senate,218
80,80,Senate,228
81,81,House,7
81,81,Senate,12
81,81,Senate,39
81,81,Senate,40
81,81,House,43
81,81,Senate,44
81,81,Senate,53
81,81,Senate,55
81,81,House,98
81,81,House,105
81,81,House,123
81,81,Senate,127
81,81,Senate,128
81,81,Senate,130
81,81,House,131
81,81,Senate,152
81,81,Senate,155
81,81,House,190
81,81,Senate,191
81,81,Senate,195
81,81,House,196
81,81,Senate,196
81,81,Senate,198
81,81,House,201
81,81,House,208
81,81,House,214
81,81,Senate,221
81,81,House,248
81,81,House,269
81,81,Senate,316
81,81,Senate,317
81,81,Senate,318
81,81,Senate,328
81,81,Senate,361
81,81,Senate,364
81,81,Senate,366
81,81,Senate,408
81,81,Senate,410
81,81,Senate,413
81,81,Senate,448
81,81,Senate,449
82,82,House,4
82,82,Senate,19
82,82,House,30
82,82,House,35
82,82,House,37
82,82,Senate,46
82,82,Senate,47
82,82,Senate,48
82,82,House,85
82,82,House,88
82,82,Senate,88
82,82,House,99
82,82,House,100
82,82,Senate,132
82,82,House,138
82,82,Senate,139
82,82,Senate,141
82,82,Senate,142
82,82,Senate,150
82,82,House,153
82,82,House,155
82,82,House,156
