"","chamber","icpsr","state_abbrev","party_code","bioname","born","died","gen","nominate_dim1","nominate_dim2","wing","region","total_vote","iso_num","oppo_per","first_cong","last_cong","congress_num","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102"
"1","House",4793,"IL","Democrat","IGOE, Michael Lambert",1885,"1967","lost",-0.365,-0.017,"Left","Midwest",1,1,1,74,74,1,"1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"2","House",5930,"MI","Republican","MAIN, Verner Wright",1885,"1965","lost",0.271,-0.311,"Center","Midwest",3,3,1,74,74,1,"1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"3","Senate",5758,"LA","Democrat","LONG, Huey Pierce",1893,"1935","lost",0.251,0.862,"Right","South",10,10,1,72,74,3,"1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"4","Senate",650,"MN","Independent","BENSON, Elmer Austin",1895,"1985","lost",0.02,1,"Right","Midwest",3,3,1,74,74,1,"1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"5","House",4948,"MN","Independent","JOHNSON, Dewey William",1899,"1941","lost",-0.28,-0.96,"Left","Midwest",10,10,1,75,75,1,"X","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"6","Senate",9125,"AL","Democrat","SWIFT, George Robinson",1887,"1972","lost",0.046,0.999,"Right","South",1,1,1,79,79,1,"X","X","X","X","X","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"7","House",4831,"NY","Independent","ISACSON, Leo",1910,"1996","greatest",-1,-0.018,"Left","North",9,9,1,80,80,1,"X","X","X","X","X","X","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"8","Senate",7837,"NE","Republican","REYNOLDS, Samuel Williams",1890,"1988","lost",0.631,-0.492,"Right","Midwest",3,3,1,83,83,1,"X","X","X","X","X","X","X","X","X","1","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"9","House",4285,"NE","Republican","HEINKE, George Henry",1882,"1940","missionary",0.581,0.24,"Right","Midwest",16,15,0.9375,76,76,1,"X","X","0.9375","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"10","House",2701,"IA","Republican","DOWELL, Cassius Clay",1864,"1940","missionary",0.329,0.644,"Right","Midwest",27,25,0.925925925925926,64,76,12,"X","1","0.875","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
